batter,season_year,batting_team,matches,total_runs,total_balls,highest_score,fifties,hundreds,ducks,innings,batting_avg,strike_rate
RK Singh,2025,Kolkata Knight Riders,11,206,134,38,0,0,0,11,18.73,153.73
RM Patidar,2021,Royal Challengers Bangalore,4,71,62,31,0,0,0,4,17.75,114.52
RM Patidar,2022,Royal Challengers Bangalore,7,333,218,112,2,1,0,7,47.57,152.75
RM Patidar,2024,Royal Challengers Bengaluru,13,395,223,55,5,0,1,13,30.38,177.13
RM Patidar,2025,Royal Challengers Bengaluru,14,312,217,64,2,0,0,14,22.29,143.78
RN ten Doeschate,2011,Kolkata Knight Riders,3,107,73,70,1,0,0,3,35.67,146.58
RN ten Doeschate,2012,Kolkata Knight Riders,3,21,21,11,0,0,0,3,7.0,100.0
RN ten Doeschate,2013,Kolkata Knight Riders,4,85,63,42,0,0,0,4,21.25,134.92
RN ten Doeschate,2014,Kolkata Knight Riders,6,52,33,25,0,0,2,6,8.67,157.58
RN ten Doeschate,2015,Kolkata Knight Riders,5,61,45,38,0,0,1,5,12.2,135.56
RP Meredith,2022,Mumbai Indians,1,0,1,0,0,0,1,1,0.0,0.0
RP Meredith,2023,Mumbai Indians,1,0,2,0,0,0,1,1,0.0,0.0
RP Singh,2007,Deccan Chargers,9,27,24,10,0,0,0,9,3.0,112.5
RP Singh,2009,Deccan Chargers,10,17,36,4,0,0,3,10,1.7,47.22
RP Singh,2011,Kochi Tuskers Kerala,4,2,4,1,0,0,2,4,0.5,50.0
RP Singh,2012,Mumbai Indians,5,6,12,3,0,0,1,5,1.2,50.0
RR Bhatkal,2012,Royal Challengers Bangalore,1,0,2,0,0,0,1,1,0.0,0.0
RR Pant,2016,Delhi Daredevils,10,198,152,69,1,0,0,10,19.8,130.26
RR Pant,2017,Delhi Daredevils,14,366,221,97,2,0,3,14,26.14,165.61
RR Pant,2018,Delhi Daredevils,14,684,394,128,5,1,1,14,48.86,173.6
RR Pant,2019,Delhi Capitals,16,494,304,78,3,0,0,16,30.88,162.5
RR Pant,2020,Delhi Capitals,14,345,303,56,1,0,0,14,24.64,113.86
RR Pant,2021,Delhi Capitals,16,424,330,58,3,0,0,16,26.5,128.48
RR Pant,2022,Delhi Capitals,13,340,224,44,0,0,0,13,26.15,151.79
RR Pant,2024,Delhi Capitals,13,446,287,88,3,0,0,13,34.31,155.4
RR Pant,2025,Lucknow Super Giants,13,269,202,118,1,1,2,13,20.69,133.17
RR Powar,2007,Kings XI Punjab,1,28,21,28,0,0,0,1,28.0,133.33
RR Powar,2009,Kings XI Punjab,5,28,30,10,0,0,0,5,5.6,93.33
RR Powar,2011,Kochi Tuskers Kerala,3,11,13,8,0,0,1,3,3.67,84.62
RR Raje,2007,Mumbai Indians,3,8,9,6,0,0,0,3,2.67,88.89
RR Raje,2009,Mumbai Indians,2,12,9,11,0,0,0,2,6.0,133.33
RR Rossouw,2014,Royal Challengers Bangalore,3,39,41,24,0,0,0,3,13.0,95.12
RR Rossouw,2015,Royal Challengers Bangalore,2,14,10,14,0,0,1,2,7.0,140.0
RR Rossouw,2023,Delhi Capitals,9,209,141,82,1,0,2,9,23.22,148.23
RR Rossouw,2024,Punjab Kings,8,211,116,61,1,0,1,8,26.38,181.9
RR Sarwan,2007,Kings XI Punjab,4,73,75,31,0,0,0,4,18.25,97.33
RS Bopara,2009,Kings XI Punjab,14,386,333,84,3,0,1,14,27.57,115.92
RS Bopara,2015,Sunrisers Hyderabad,8,145,120,41,0,0,1,8,18.12,120.83
RS Gavaskar,2009,Kolkata Knight Riders,1,2,8,2,0,0,0,1,2.0,25.0
